cik,fiscal_year,enforced
0000945828,2017,0
0000945828,2018,0
0000945828,2019,0
0000945828,2020,0
0000945841,2016,0
0000945841,2017,0
0000945841,2018,0
0000946486,2015,0
0000946486,2016,0
0000946486,2017,0
0000946486,2018,0
0000946486,2021,0
0000946486,2022,0
0000946486,2023,0
0000946486,2024,0
0000946644,2024,0
0000946644,2025,0
0000947484,2016,0
0001000697,2022,0
0001000697,2023,0
0001000697,2024,0
0001001233,2016,0
0001001233,2022,0
0001001233,2023,0
0001001233,2024,0
0001001233,2025,0
0001001316,2022,0
0001001614,2016,0
0001002225,2014,0
0001004724,2016,0
0001004724,2017,0
0001004724,2018,0
0001004724,2019,0
0001004724,2022,0
0001004724,2025,0
0001004980,2018,0
0001004980,2019,0
0001004980,2020,0
0001006028,2016,0
0001006028,2017,0
0001006028,2018,0
0001006028,2021,0
0001006028,2022,0
0001009759,2017,0
0001009759,2023,0
0001009759,2024,0
0001009759,2025,0
0001010552,2014,1
0001011006,2016,1
0001011060,2021,0
0001011060,2022,0
0001011060,2023,0
0001011060,2024,0
0001011060,2025,0
0001011064,2010,1
0001013237,2016,0
0001013272,2018,0
0001013871,2016,0
0001014052,2023,0
0001014763,2010,0
0001014763,2011,0
0001014763,2012,0
0001014763,2016,0
0001014763,2017,0
0001014763,2018,0
0001014763,2019,0
0001014763,2021,0
0001014763,2022,0
0001014763,2023,0
0001014763,2025,0
0001015328,2016,0
0001015328,2017,0
0001016178,2016,0
0001016504,2016,0
0001016504,2017,0
0001017655,2021,0
0001017655,2022,0
0001017655,2023,0
0001017655,2024,0
0001017655,2025,0
0001020214,2016,0
0001020214,2020,0
0001020214,2021,0
0001020569,2016,0
0001021561,2016,0
0001021635,2016,0
0001021860,2016,0
0001021917,2015,0
0001021917,2022,0
0001021917,2023,0
0001021917,2024,0
0001021917,2025,0
0001023731,2017,0
0001025771,2016,0
0001025771,2019,0
0001025771,2020,0
0001026214,2020,0
0001026214,2021,0
0001031296,2016,0
0001031296,2017,0
0001032220,2017,0
0001035443,2018,0
0001035443,2019,0
0001035443,2020,0
0001035443,2021,0
0001035443,2022,0
0001035443,2023,0
0001038277,2016,0
0001038277,2017,0
0001038277,2021,0
0001038277,2022,0
0001038277,2023,0
0001038277,2024,0
0001038277,2025,0
0001039684,2016,0
0001040130,2026,0
0001040470,2016,0
0001040482,2010,0
0001041061,2016,0
0001041657,2016,0
0001041657,2017,0
0001041934,2025,0
0001042773,2016,0
0001042773,2018,0
0001042773,2019,0
0001043000,2016,0
0001043000,2020,0
0001043000,2021,0
0001043000,2022,0
0001043000,2023,0
0001043186,2017,0
0001043186,2018,0
0001043186,2019,0
0001043186,2020,0
0001043186,2021,0
0001045742,2017,0
0001045742,2019,0
0001045742,2021,0
0001046311,2016,0
0001049502,2016,0
0001049521,2016,0
0001049521,2017,0
0001050446,2025,0
0001052354,2016,0
0001055160,2016,0
0001056696,2016,0
0001060822,2016,0
0001060822,2023,0
0001060822,2024,0
0001061983,2016,0
0001063761,2018,0
0001063761,2021,0
0001063761,2022,0
0001063761,2025,0
0001066194,2016,0
0001068689,2018,0
0001068689,2019,0
0001068689,2020,0
0001068689,2021,0
0001068689,2022,0
0001068689,2023,0
0001069157,2019,0
0001069157,2020,0
0001069157,2021,0
0001070081,2016,0
0001070423,2016,0
0001072379,2014,1
0001072379,2015,1
0001072379,2017,1
0001072379,2018,1
0001072379,2020,1
0001072379,2021,1
0001072379,2022,1
0001072379,2023,1
0001072379,2024,1
0001072379,2025,1
0001074828,2021,0
0001074828,2022,0
0001074828,2023,0
0001074828,2024,0
0001074871,2016,0
0001074871,2020,0
0001074871,2021,0
0001074871,2022,0
0001074871,2023,0
0001074871,2024,0
0001076930,2016,0
0001080448,2016,0
0001080448,2025,0
0001081834,2010,0
0001081834,2011,0
0001081834,2012,0
0001081834,2013,0
0001081834,2021,0
0001081834,2022,0
0001081834,2023,0
0001081938,2021,0
0001081938,2022,0
0001081938,2023,0
0001081938,2024,0
0001081938,2025,0
0001082554,2018,0
0001082554,2019,0
0001082554,2020,0
0001082733,2016,0
0001082733,2018,0
0001082733,2019,0
0001082733,2022,0
0001082733,2023,0
0001082733,2024,0
0001082733,2025,0
0001083301,2016,0
0001083301,2021,0
0001083301,2022,0
0001083301,2023,0
0001083743,2016,0
0001083743,2017,0
0001083743,2024,0
0001083743,2025,0
0001084267,2019,0
0001084267,2021,0
0001084267,2022,0
0001084267,2023,0
0001084267,2024,0
0001084267,2025,0
0001085277,2019,0
0001085277,2020,0
0001085277,2021,0
0001085277,2022,0
0001085277,2023,0
0001085277,2024,0
0001085277,2025,0
0001086600,2016,0
0001086745,2016,0
0001086745,2017,0
0001086745,2024,0
0001088856,2016,0
0001088856,2017,0
0001089815,2019,0
0001089815,2020,0
0001089815,2023,0
0001089815,2024,0
0001089815,2025,0
0001090012,2016,0
0001091596,2016,0
0001091596,2017,0
0001091596,2018,0
0001091596,2021,0
0001091596,2022,0
0001091596,2023,0
0001091596,2024,0
0001091596,2025,0
0001092492,2010,1
0001092492,2011,1
0001094032,2013,0
0001094032,2014,0
0001094032,2021,0
0001094032,2022,0
0001094038,2016,0
0001094038,2017,0
0001094038,2020,0
0001094038,2021,0
0001094038,2022,0
0001094038,2023,0
0001094038,2024,0
0001094038,2025,0
0001094831,2016,0
0001094831,2017,0
0001095981,2016,0
0001095981,2017,0
0001095981,2018,0
0001095981,2019,0
0001095981,2020,0
0001095981,2021,0
0001095981,2022,0
0001095981,2023,0
0001095981,2024,0
0001095981,2025,0
0001097864,2016,0
0001098482,2011,0
0001098482,2012,0
0001098972,2016,0
0001098972,2017,0
0001098972,2019,0
0001098972,2020,0
0001098972,2022,0
0001098972,2023,0
0001098972,2024,0
0001098972,2025,0
0001099234,2015,0
0001099234,2016,0
0001099234,2017,0
0001099574,2010,1
0001099574,2011,1
0001099574,2012,1
0001099574,2013,1
0001099574,2014,1
0001099574,2015,1
0001099574,2016,1
0001100682,2016,0
0001100682,2020,0
0001101026,2015,0
0001101026,2016,0
0001101026,2017,0
0001101026,2018,0
0001101026,2019,0
0001101026,2020,0
0001101026,2021,0
0001101026,2022,0
0001101026,2023,0
0001101026,2024,0
0001101433,2016,0
0001101433,2025,0
0001103090,2013,0
0001103090,2014,0
0001103090,2015,0
0001103090,2016,0
0001103090,2017,0
0001103090,2018,0
0001103090,2019,0
0001103384,2012,0
0001103384,2013,0
0001104038,2016,0
0001104038,2019,0
0001104506,2016,0
0001104506,2017,0
0001106644,2019,0
0001106644,2020,0
0001106644,2021,0
0001106644,2022,0
0001106644,2023,0
0001106644,2024,0
0001106861,2025,0
0001110607,2021,0
0001111485,2021,0
0001111485,2022,0
0001111485,2023,0
0001111485,2024,0
0001111485,2025,0
0001113232,2016,0
0001113313,2015,0
0001113313,2018,0
0001113313,2021,0
0001113313,2022,0
0001113313,2023,0
0001113313,2024,0
0001113809,2016,0
0001114936,2011,0
0001114936,2012,0
0001117228,2010,0
0001117228,2011,0
0001117228,2012,0
0001117228,2013,0
0001117228,2014,0
0001117228,2022,0
0001117228,2023,0
0001119643,2016,0
0001119643,2017,0
0001119643,2018,0
0001119643,2019,0
0001119643,2021,0
0001119643,2024,0
0001120970,2016,0
0001120970,2017,0
0001120970,2018,0
0001120970,2019,0
0001120970,2020,0
0001120970,2021,0
0001120970,2022,0
0001120970,2023,0
0001120970,2024,0
0001120970,2025,0
0001121795,2021,0
0001121795,2022,0
0001121795,2024,0
0001122020,2010,0
0001122020,2011,0
0001122020,2012,0
0001122020,2013,0
0001122020,2014,0
0001122020,2015,0
0001122020,2026,0
0001123494,2022,0
0001123494,2023,0
0001123494,2024,0
0001123494,2025,0
0001124105,2016,0
0001124105,2017,0
0001124105,2018,0
0001124105,2019,0
0001124105,2020,0
0001124105,2021,0
0001124105,2022,0
0001124198,2016,0
0001124524,2016,0
0001125376,2016,0
0001126533,2010,0
0001127475,2014,0
0001127475,2017,0
0001127475,2018,0
0001127475,2019,0
0001127475,2020,0
0001127475,2021,0
0001127475,2022,0
0001127475,2023,0
0001127475,2024,0
0001127475,2025,0
0001128928,2016,0
0001129928,2025,0
0001130126,2010,1
0001130166,2016,0
0001130166,2017,0
0001130166,2018,0
0001130166,2019,0
0001130166,2020,0
0001130166,2021,0
0001130166,2022,0
0001130166,2023,0
0001130166,2024,0
0001130166,2025,0
0001130310,2016,0
0001132509,2015,0
0001132509,2016,0
0001132509,2017,0
0001132509,2018,0
0001132509,2019,0
0001132509,2020,0
0001132509,2021,0
0001132509,2022,0
0001132509,2023,0
0001132509,2024,0
0001133311,2016,0
0001133311,2021,0
0001133311,2022,0
0001133311,2023,0
0001133416,2016,0
0001133416,2024,0
0001133416,2025,0
0001133818,2022,0
0001133818,2023,0
0001133818,2024,0
0001133869,2018,0
0001133869,2021,0
0001133869,2022,0
0001133869,2023,0
0001133869,2025,0
0001134115,2021,0
0001134115,2023,0
0001134115,2024,0
0001134115,2025,0
0001134765,2021,0
0001134765,2022,0
0001134765,2023,0
0001134765,2024,0
0001134765,2025,0
0001140215,2021,0
0001140215,2022,0
0001140536,2021,0
0001140859,2019,0
0001141284,2023,0
0001141284,2024,0
0001141284,2025,0
0001142801,2011,0
0001142801,2012,0
0001142801,2013,0
0001142801,2014,0
0001142801,2015,0
0001142801,2021,0
0001143513,2016,0
0001143513,2017,0
0001144879,2022,0
0001144879,2024,0
0001144879,2025,0
0001145197,2016,0
0001145986,2017,0
0001156041,2025,0
0001157601,2016,0
0001157601,2018,0
0001157601,2019,0
0001157601,2020,0
0001157601,2021,0
0001157601,2022,0
0001158114,2016,0
0001158172,2017,0
0001158780,2016,0
0001158780,2017,0
0001158780,2018,0
0001158780,2025,0
0001159036,2016,0
0001160084,2010,1
0001160308,2016,0
0001160791,2023,0
0001160791,2024,0
0001160791,2025,0
0001162896,2016,0
0001162896,2021,0
0001162896,2022,0
0001162896,2023,0
0001166708,2019,0
0001166708,2021,0
0001166708,2022,0
0001166708,2025,0
0001167419,2016,0
0001167419,2017,0
0001167419,2018,0
0001167419,2020,0
0001167419,2021,0
0001167419,2022,0
0001167419,2023,0
0001167419,2024,0
0001167419,2025,0
0001171486,2016,0
0001172069,2010,0
0001172069,2011,0
0001172069,2014,0
0001172069,2023,0
0001172069,2024,0
0001172069,2025,0
0001173204,2017,0
0001173420,2019,0
0001173420,2020,0
0001173420,2021,0
0001173420,2022,0
0001173420,2023,0
0001173420,2024,0
0001173420,2025,0
0001173489,2016,0
0001175151,2016,0
0001175151,2019,0
0001175151,2020,0
0001175151,2023,0
0001175151,2024,0
0001175151,2025,0
0001175454,2016,0
0001175680,2014,1
0001175680,2015,1
0001175680,2016,1
0001175680,2017,1
0001175680,2018,1
0001175680,2019,1
0001175680,2020,1
0001175680,2021,1
0001175680,2022,1
0001175680,2023,1
0001175680,2024,1
0001175680,2025,1
0001176309,2023,0
0001176309,2025,0
0001178253,2016,0
0001178253,2022,0
0001178670,2016,0
0001190370,2021,0
0001190370,2022,0
0001190370,2023,0
0001190370,2024,0
0001190370,2025,0
0001191359,2015,0
0001192448,2016,0
0001192448,2017,0
0001192448,2018,0
0001192448,2019,0
0001192448,2020,0
0001192448,2021,0
0001201792,2016,0
0001205922,2018,0
0001205922,2019,0
0001205922,2020,0
0001205922,2021,0
0001205922,2022,0
0001205922,2023,0
0001205922,2024,0
0001211805,2020,0
0001212545,2016,0
0001213809,2024,0
0001218683,2016,0
